player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Anthony Colandrea,170131,QB,VIRGINIA,11,71.1,294,319,7.9,2.9,3,12,3.6,61.4,196,0,156,6.2,392,13,-0.12,109,335,52.9,64.2,58.5,69.2,5,11,414,1,39.8,25.0,80.1,9.9,39,34,1,16,13,15,3.6,2116,6.6
Payton Thorne,101629,QB,AUBURN,11,73.1,294,319,10.0,2.76,7,10,3.0,62.4,199,0,115,7.4,387,16,0.1,123,115,68.4,74.7,74.4,62.3,1,9,401,3,44.7,23.5,99.7,7.0,27,41,1,16,21,7,1.7,2713,8.5
C.J. Ogbonna,149182,QB,BUFFALO,12,67.8,283,318,10.3,2.49,10,22,6.6,56.9,181,0,112,5.7,357,11,-0.01,103,126,34.5,64.4,65.4,57.5,7,5,373,4,41.2,17.9,92.2,5.6,20,18,0,18,19,11,2.9,2239,7.0
Jalen Kitna,146688,QB,UAB,8,71.1,305,317,8.4,2.83,1,14,4.3,61.8,196,0,116,9.7,357,21,-0.1,96,321,28.2,60.2,65.2,31.1,5,11,370,4,42.6,18.1,86.1,5.9,21,16,0,6,17,22,5.9,2209,7.0
Brendon Lewis,131687,QB,NEVADA,12,76.2,290,315,9.6,3.01,3,11,3.2,67.0,211,0,139,4.5,371,10,0.09,119,239,50.8,90.1,79.3,85.4,2,7,400,2,44.7,15.8,95.9,5.9,22,32,2,18,16,12,3.0,2290,7.3
Sawyer Robertson,146839,QB,BAYLOR,11,70.1,298,315,9.4,2.62,6,12,3.5,62.2,196,0,87,6.2,354,13,0.29,136,118,58.1,79.2,75.2,72.5,3,7,381,2,52.0,17.2,106.8,4.2,15,21,0,8,26,15,3.9,2613,8.3
Will Rogers,124184,QB,WASHINGTON,11,77.4,292,315,8.2,2.49,9,13,4.0,69.8,220,0,104,2.7,342,6,0.08,120,340,30.1,64.0,67.2,31.0,1,7,351,4,52.3,15.4,98.4,4.7,16,10,1,12,14,14,4.0,2458,7.8
Gio Lopez,172309,QB,S ALABAMA,11,73.6,292,311,9.2,2.84,1,18,5.5,65.9,205,0,120,4.7,356,10,0.22,122,288,61.2,81.4,70.6,86.1,5,5,375,0,50.6,12.5,102.8,4.2,15,30,0,13,17,13,3.5,2556,8.2
Drew Allar,164157,QB,PENN STATE,13,76.7,300,307,8.6,2.93,0,13,4.1,70.7,217,0,113,5.7,360,13,0.35,151,266,72.2,86.2,83.4,74.0,1,5,372,0,55.3,13.3,111.7,4.2,15,37,0,6,18,4,1.1,2795,9.1
Evan Simon,129906,QB,TEMPLE,9,72.5,273,307,7.7,2.8,6,12,3.7,58.3,179,1,167,9.6,359,19,-0.12,95,306,60.2,70.3,72.3,54.3,4,9,381,3,36.2,15.6,81.8,7.2,26,26,0,24,15,11,2.9,1997,6.5
Keyone Jenkins,170403,QB,FIU,12,72.5,287,304,10.6,2.67,2,19,5.8,61.8,188,0,110,9.6,348,20,0.07,120,166,26.4,69.5,72.1,52.1,4,8,375,1,44.0,15.5,101.9,4.9,17,24,0,11,22,15,4.0,2560,8.4
Jalon Daniels,122555,QB,KANSAS,12,65.9,279,301,12.4,3.08,4,22,7.1,56.8,171,0,89,7.1,334,13,0.13,117,198,58.7,77.6,72.6,73.6,6,12,349,4,47.3,10.1,82.3,2.7,9,22,0,12,14,15,4.3,2454,8.2
Braedyn Locke,157141,QB,WISCONSIN,10,68.9,267,296,8.7,2.56,14,10,3.2,55.4,164,1,67,10.9,311,20,-0.07,82,349,53.0,61.1,58.6,67.0,5,10,331,2,39.9,14.9,76.1,3.2,10,5,0,10,13,18,5.4,1936,6.5
Jack Lausch,162845,QB,NWESTERN,10,64.8,270,296,9.2,3.02,2,10,3.2,53.7,159,0,129,9.1,344,16,-0.18,82,256,45.9,54.7,52.7,62.1,6,8,360,2,37.2,17.1,67.6,6.4,22,25,0,18,7,14,3.9,1711,5.8
Christian Veilleux,145086,QB,GA STATE,10,70.0,270,293,9.6,2.36,12,11,3.5,57.3,168,0,88,11.1,310,21,0.0,101,175,62.1,63.6,60.4,69.4,2,11,330,1,41.6,11.4,78.3,3.2,10,7,0,9,13,15,4.5,2062,7.0
