name,team,number,position,side,off_grade_off,off_grade_pass,off_grade_run,off_grade_recv,off_grade_pblk,off_grade_rblk,off_snaps_off,off_snaps_pass,off_snaps_run,off_snaps_recv,off_snaps_pblk,off_snaps_rblk,def_grade_def,def_grade_rdef,def_grade_prush,def_grade_cov,def_snaps_def,def_snaps_rdef,def_snaps_prush,def_snaps_cov,height,weight
Luke Montgomery,OHIO STATE,51,OG,Offense,73.4,,,,70.0,73.5,837,,,,442,395,,,,,,,,,"6' 5""",313
Mason Williams,OHIO STATE,86,TE,Offense,74.4,,,74.7,73.8,66.7,533,,,173,39,321,,,,,,,,,"6' 4""",246
Will Smith Jr.,OHIO STATE,53,DT,Defense,,,,,,,,,,,,,72.6,74.8,61.7,60,224,123,101,0,"6' 3""",303
Caleb Hawkins,OKLA STATE,24,RB,Offense,92.6,,94.1,69.9,50.4,66.4,537,,234,234,45,24,,,,,,,,,"6' 0""",219
Chris Barnes,OKLA STATE,2,WR,Offense,76.9,,58.3,78.2,,67.6,323,,9,203,,111,,,,,,,,,"5' 7""",169
Christian Bodnar,OKLA STATE,6,CB,Defense,,,,,,,,,,,,,71.8,72.4,76.9,68.6,581,253,23,305,"6' 0""",188
Drew Mestemaker,OKLA STATE,17,QB,Offense,88.3,86.1,65.3,60.0,,60.1,958,536,25,1,,396,,,,,,,,,"6' 3""",215
Ethan Wesloski,OKLA STATE,32,LB,Defense,,,,,,,,,,,,,90.6,86.2,65.6,91.2,804,448,87,269,"6' 1""",234
Israel Polk,OKLA STATE,5,WR,Offense,62.9,,59.6,62.5,,65.4,580,,1,351,,228,,,,,,,,,"6' 2""",177
Jakobe Sanders,OKLA STATE,75,OG,Offense,60.0,,,,66.3,58.0,374,,,,201,173,,,,,,,,,"6' 2""",327
James Williams,OKLA STATE,10,EDGE,Defense,,,,,,,,,,,,,69.9,69.1,68,62.5,249,93,151,5,"6' 5""",256
Jerry Lawson,OKLA STATE,92,DT,Defense,,,,,,,,,,,,,68.8,63.1,71.6,60,226,113,113,0,"6' 1""",312
Johnny Dickson III,OKLA STATE,54,OG,Offense,71.9,,,,73.3,72.6,818,,,,456,362,,,,,,,,,"6' 2""",317
Justin Bowick,OKLA STATE,0,WR,Offense,70.4,,,70.2,,61.7,309,,,173,,136,,,,,,,,,"6' 5""",209
Keviyan Huddleston,OKLA STATE,11,EDGE,Defense,,,,,,,,,,,,,70.4,74.8,61.2,,409,218,191,,"6' 4""",269
Kollin Lewis,OKLA STATE,8,CB,Defense,,,,,,,,,,,,,75.9,68.7,56.5,77,437,213,2,222,"5' 10""",188
LaDainian Fields,OKLA STATE,9,CB,Defense,,,,,,,,,,,,,77.2,75.3,64,77.6,255,122,3,130,"6' 1""",176
Malik Charles,OKLA STATE,0,EDGE,Defense,,,,,,,,,,,,,67.5,64.6,64.2,71.4,279,133,144,2,"6' 3""",284
Miles Coleman,OKLA STATE,1,WR,Offense,81.1,,60.7,84.0,,53.5,385,,2,221,,162,,,,,,,,,"5' 6""",158
Morgan McPhaul,OKLA STATE,45,TE,Offense,58.7,,,58.0,68.9,55.4,443,,,159,75,209,,,,,,,,,"6' 2""",265
Rodney Harris II,OKLA STATE,11,WR,Offense,62.5,,,62.6,70.7,61.4,805,,,383,2,420,,,,,,,,,"6' 1""",207
Tre Page III,OKLA STATE,6,RB,Offense,86.1,,87.8,57.8,57.1,53.5,259,,115,86,50,8,,,,,,,,,"5' 8""",184
Trip White,OKLA STATE,30,LB,Defense,,,,,,,,,,,,,69.5,80.8,68.1,52.3,294,156,26,112,"6' 3""",234
Wyatt Young,OKLA STATE,10,WR,Offense,89.0,,63.7,89.9,64.4,64.3,607,,3,366,1,237,,,,,,,,,"6' 0""",199
Adepoju Adebawore,OKLAHOMA,34,EDGE,Defense,,,,,,,,,,,,,63.9,68.7,62.6,52.5,283,119,137,27,"6' 4""",265
Bishop Thomas,OKLAHOMA,8,DT,Defense,,,,,,,,,,,,,76.6,70.8,72,77,427,191,235,1,"6' 1""",297
Caleb Nitta,OKLAHOMA,60,C,Offense,68.9,,,,70.6,65.6,653,,,,394,259,,,,,,,,,"6' 2""",302
Courtland Guillory,OKLAHOMA,4,CB,Defense,,,,,,,,,,,,,73.8,65.4,68.2,74,640,254,3,383,"6' 0""",190
David Stone,OKLAHOMA,0,DT,Defense,,,,,,,,,,,,,76.4,80.7,68.1,67.8,454,171,280,3,"6' 3""",315
Eddy Pierre-Louis,OKLAHOMA,55,OG,Offense,61.1,,,,79.2,59.1,446,,,,264,182,,,,,,,,,"6' 3""",318
Eli Bowen,OKLAHOMA,23,CB,Defense,,,,,,,,,,,,,73.4,71.3,59,73,462,190,1,271,"5' 9""",189
Gracen Halton,OKLAHOMA,56,DT,Defense,,,,,,,,,,,,,85,87.5,76.9,59.6,422,160,259,3,"6' 2""",292
Hayden Hansen,OKLAHOMA,89,TE,Offense,52.7,,,52.6,56.4,56.7,746,,,310,108,328,,,,,,,,,"6' 8""",266
Heath Ozaeta,OKLAHOMA,77,OG,Offense,56.3,,,,68.0,53.2,398,,,,228,170,,,,,,,,,"6' 5""",315
Isaiah Sategna III,OKLAHOMA,1,WR,Offense,70.5,,69.4,70.8,62.1,63.3,737,,4,461,1,271,,,,,,,,,"5' 10""",185
Jake Maikkula,OKLAHOMA,69,C,Offense,68.8,,,,81.1,61.6,710,,,,408,302,,,,,,,,,"6' 6""",309
Jayden Jackson,OKLAHOMA,65,DT,Defense,,,,,,,,,,,,,69.2,70.5,61.2,78.3,308,133,175,0,"6' 2""",306
John Mateer,OKLAHOMA,10,QB,Offense,64.0,61.7,62.6,56.7,,60.1,804,482,109,1,,212,,,,,,,,,"6' 1""",224
Kenny Ozowalu,OKLAHOMA,94,EDGE,Defense,,,,,,,,,,,,,74.5,67.6,75.3,69,341,155,186,0,"6' 3""",277
Kip Lewis,OKLAHOMA,10,LB,Defense,,,,,,,,,,,,,76.7,85.7,73.6,58.9,546,217,109,220,"6' 1""",230
Lloyd Avant,OKLAHOMA,9,RB,Offense,73.5,,78.0,69.7,43.8,54.8,375,,90,169,79,37,,,,,,,,,"5' 10""",215
Owen Heinecke,OKLAHOMA,38,LB,Defense,,,,,,,,,,,,,76.1,78.8,73.2,67,468,176,80,212,"6' 1""",230
Parker Livingstone,OKLAHOMA,3,WR,Offense,67.9,71.7,,68.9,,49.9,540,1,,316,,223,,,,,,,,,"6' 3""",202
Peyton Bowen,OKLAHOMA,22,S,Defense,,,,,,,,,,,,,78.6,77.3,76.4,76.8,679,278,5,396,"6' 0""",204
Prince Ijioma,OKLAHOMA,37,CB,Defense,,,,,,,,,,,,,70.9,68.6,53.3,70.9,482,232,3,247,"6' 2""",200
Rocky Beers,OKLAHOMA,81,TE,Offense,69.7,,,73.0,62.7,56.4,522,,,300,38,184,,,,,,,,,"6' 5""",240
Ryan Fodje,OKLAHOMA,70,OG,Offense,54.0,,,,71.1,49.2,433,,,,254,179,,,,,,,,,"6' 5""",321
Taylor Wein,OKLAHOMA,44,EDGE,Defense,,,,,,,,,,,,,78,70.9,75.4,73,504,209,256,39,"6' 4""",265
Tory Blaylock,OKLAHOMA,6,RB,Offense,67.3,,74.4,43.5,64.2,54.2,407,,119,181,49,58,,,,,,,,,"5' 11""",212
Trell Harris,OKLAHOMA,11,WR,Offense,77.0,,,77.2,,66.6,674,,,395,,279,,,,,,,,,"6' 0""",203
Xavier Robinson,OKLAHOMA,21,RB,Offense,71.9,,73.9,65.9,63.2,61.1,337,,83,146,55,53,,,,,,,,,"6' 0""",232
Antonio Kite,OLE MISS,8,CB,Defense,,,,,,,,,,,,,78.2,71,55.4,79.6,717,310,1,406,"6' 0""",190
Blake Purchase,OLE MISS,3,EDGE,Defense,,,,,,,,,,,,,66.2,69.4,62.4,64.4,351,174,125,52,"6' 3""",245
Brycen Sanders,OLE MISS,62,C,Offense,59.1,,,,61.5,56.1,"1,084",,,,586,498,,,,,,,,,"6' 5""",310
Darrell Gill Jr.,OLE MISS,15,WR,Offense,58.7,,57.5,59.3,,53.6,668,,1,438,,229,,,,,,,,,"6' 1""",180
Delano Townsend,OLE MISS,51,OG,Offense,57.0,,,,61.4,54.4,933,,,,494,439,,,,,,,,,"6' 4""",325
Deuce Alexander,OLE MISS,1,WR,Offense,71.7,,72.5,71.7,,54.3,610,,18,328,,263,,,,,,,,,"6' 0""",180
Isaiah Spencer,OLE MISS,85,WR,Offense,58.9,,,59.2,,58.2,377,,,204,,173,,,,,,,,,"6' 0""",210
Jalyn Crawford,OLE MISS,0,CB,Defense,,,,,,,,,,,,,71.7,71.5,71.3,70.1,580,247,3,330,"6' 0""",180
Jamarious Brown,OLE MISS,96,DT,Defense,,,,,,,,,,,,,71.8,75.1,65.8,59.2,341,188,152,1,"6' 1""",305
Jaylon Braxton,OLE MISS,2,CB,Defense,,,,,,,,,,,,,61.7,69.3,59.7,59.3,526,207,2,317,"5' 11""",190
Johntay Cook II,OLE MISS,0,WR,Offense,62.2,50.4,63.2,63.1,,51.7,532,1,1,365,,165,,,,,,,,,"5' 11""",185
Jonathan Maldonado,OLE MISS,17,EDGE,Defense,,,,,,,,,,,,,78.1,76.2,85.7,59.4,634,281,267,86,"6' 6""",250
Joshua Dye,OLE MISS,28,RB,Offense,90.8,,90.8,52.0,75.2,56.4,559,,305,161,52,41,,,,,,,,,"5' 10""",195
Kam Franklin,OLE MISS,5,EDGE,Defense,,,,,,,,,,,,,71.2,70.8,65.1,71.5,702,319,381,2,"6' 5""",300
Keaton Thomas,OLE MISS,11,LB,Defense,,,,,,,,,,,,,69.3,70,58.1,67.4,793,408,45,340,"6' 1""",235
Kewan Lacy,OLE MISS,5,RB,Offense,86.9,,91.6,50.7,54.2,57.3,873,,316,304,156,97,,,,,,,,,"5' 11""",205
Makhi Frazier,OLE MISS,25,RB,Offense,74.8,,77.6,61.1,37.2,58.1,277,,120,108,39,10,,,,,,,,,"5' 10""",210
Micah Pettus,OLE MISS,75,OT,Offense,79.9,,,,72.4,78.3,712,,,,396,316,,,,,,,,,"6' 6""",320
Nick Cull,OLE MISS,29,S,Defense,,,,,,,,,,,,,55.4,73.7,76.9,47.5,339,143,6,190,"5' 11""",175
Patrick Kutas,OLE MISS,75,OG,Offense,64.6,,,,66.8,65.0,"1,081",,,,586,495,,,,,,,,,"6' 6""",315
