player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Joseph Auzenne,162951,DI,TEMPLE,10,1,0,,0,0,306,0,0,60.0,57.2,81.6,57.2,56.4,75.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,131,131,66,65,0,0,0,0,46,85,0,4,4,0,0,1,0,0,0,
Joshua Cobbs,162955,S,LA TECH,2,0,0,0.0,0,0,208,0,0,62.4,62.4,66.8,,60.0,,0,0,0,0,,,0,0,0,39.6,0,0,0,1,0,4,5,0,0,0,0,0,1,5,0,1,2,0,0,0,1,0,0,0,0,
Nate Jones,162959,WR,LA TECH,1,0,0,,0,0,208,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Zion Nason,162962,DI,LA TECH,3,0,0,,0,0,208,0,0,,51.3,74.2,56.7,53.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,14,14,12,2,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,
Jhamal Shelby Jr.,162966,CB,LA TECH,7,1,0,63.6,0,0,208,0,0,76.0,74.2,80.0,60.0,60.2,51.4,0,0,0,0,27,21.4,3,2,0,111.9,7,0,0,6,134,73,144,3,0,0,3,0,0,141,1,70,0,4,10,0,11,0,1,70,13,10.0
Muaaz Byard,162971,ED,MIDDLE TN,12,4,0,100.0,0,0,224,1,0,54.0,69.0,85.3,62.4,75.6,50.0,2,0,0,0,34,22.7,5,0,0,158.3,2,0,0,34,0,23,152,97,0,0,97,0,1,55,39,90,20,10,13,2,2,2,1,57,42,28.5
Trevon Ferrell,162973,CB,MIDDLE TN,5,3,0,72.7,0,0,224,0,0,47.7,53.0,83.2,56.5,70.3,57.7,0,1,0,0,33,18.2,4,0,0,153.4,8,0,0,18,4,73,145,5,0,0,5,0,5,140,16,56,113,4,15,2,11,1,2,135,78,16.9
Mitchell Howell,162975,WR,MIDDLE TN,1,0,0,,0,0,224,0,0,,60.0,,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Christian Edgar,162993,S,RICE,1,0,0,100.0,0,0,275,0,0,60.0,50.4,68.9,,62.8,77.6,0,0,0,0,12,0.0,0,0,0,156.3,1,0,0,3,0,1,6,0,0,0,0,0,0,6,0,5,3,1,2,0,1,0,1,12,0,12.0
Tyson Flowers,162994,S,RICE,10,9,0,61.5,0,1,275,0,0,82.6,72.0,85.5,59.5,53.8,71.0,0,2,1,2,38,10.4,5,1,0,86.9,8,0,0,200,3,264,544,16,0,0,16,0,234,528,19,261,91,17,34,3,13,2,1,148,92,18.5
