player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Johntay Cook II,131255,WR,TEXAS,6,47.4,0,311,69.9,,49.2,0,0,0,0.0,0.0,,1,0,0,54,0,0,0,114,0,60,0,0,54,0
Tyler Johnson,164176,WR,PENN STATE,8,69.2,0,266,53.6,,62.2,0,0,0,0.0,0.0,,0,0,0,54,0,0,0,78,0,24,0,0,54,0
Anthony Patt,131591,T,DOMINION,1,100.0,0,263,46.6,21.4,53.2,1,2,20,100.0,100.0,92.5,0,3,0,54,0,0,54,54,21,21,0,0,33,0
J.T. Byrne,146347,TE,CAL,9,85.7,0,130,67.2,71.9,79.0,0,0,3,37.5,25.0,100.0,1,0,0,54,0,0,0,63,3,12,0,1,51,44
Joquez Smith,173281,HB,TEMPLE,10,34.2,0,306,61.2,66.6,64.5,0,1,37,38.1,37.1,95.9,1,2,1,54,0,0,0,158,39,105,0,0,15,1
Malachi Thomas,144107,HB,VA TECH,9,32.1,0,337,69.6,17.7,63.6,0,3,19,22.1,22.8,81.6,1,5,2,54,0,0,0,168,21,92,0,0,33,0
Arnold Barnes III,169972,HB,TULANE,12,30.2,0,319,71.4,12.1,43.2,1,2,20,33.9,35.5,87.5,2,4,1,54,0,0,0,179,22,62,0,0,32,0
Dewayne Coleman,163179,QB,ARMY,6,47.8,0,114,72.8,,60.7,0,0,0,0.0,0.0,,1,0,0,54,0,0,0,113,0,20,0,0,54,0
Amani Givens,189819,HB,LA TECH,8,29.5,0,208,71.3,58.7,60.1,0,3,16,22.9,22.2,90.6,0,3,0,54,0,0,0,183,16,72,0,0,38,0
Terrence Salami,145134,C,RUTGERS,8,100.0,0,278,64.7,77.4,66.9,0,0,5,100.0,100.0,100.0,1,0,0,54,24,8,0,54,6,6,1,0,48,9
KK Smith,171099,WR,NOTRE DAME,6,60.0,0,258,59.8,,63.3,0,0,0,0.0,0.0,,0,0,0,54,0,0,0,90,0,36,0,0,54,0
Nino Francavilla,183230,C,MIAMI FL,5,100.0,0,220,57.8,79.0,55.9,0,0,15,100.0,100.0,100.0,0,0,0,54,53,0,0,54,15,15,1,0,39,0
Freddie Brock IV,142276,HB,GA STATE,12,14.0,0,175,81.7,74.9,58.6,1,0,29,14.8,15.0,98.3,0,1,0,53,0,0,0,378,31,206,0,0,22,3
Isaiah Augustave,172398,HB,COLORADO,10,19.1,0,143,73.1,35.1,57.7,0,3,34,20.2,20.7,95.6,1,3,0,53,0,0,0,278,37,179,0,0,16,0
Traville Frederick Jr.,190808,TE,HOUSTON,10,58.9,0,182,53.6,50.8,56.3,0,0,6,14.6,14.0,100.0,0,0,0,53,0,0,0,90,6,43,0,0,47,60
Marcus Carroll,123849,HB,MISSOURI,12,19.3,0,229,77.7,52.0,61.6,0,0,22,21.6,21.0,100.0,0,0,0,53,0,0,0,275,22,105,0,0,31,0
Steve Angeli,156966,QB,NOTRE DAME,9,57.0,0,258,82.9,,60.0,0,0,0,0.0,0.0,,0,0,0,53,0,0,0,93,0,35,0,0,53,0
Ethan Conner,172347,TE,TROY,4,34.0,0,318,63.3,70.6,50.7,0,0,5,4.9,4.6,100.0,0,0,0,53,0,0,0,156,5,108,0,0,48,105
Dakota Twitty,156366,TE,VIRGINIA,11,31.4,0,335,55.2,53.8,54.7,0,1,4,3.6,3.3,87.5,0,1,0,53,0,0,1,169,4,120,0,1,49,67
Milan Tucker,102655,WR,FAU,11,32.7,0,165,65.3,,67.2,0,0,0,0.0,0.0,,1,0,0,53,0,0,0,162,0,109,0,0,53,4
Collin Schlee,98025,QB,VA TECH,9,34.2,0,337,61.8,,61.2,0,0,0,0.0,0.0,,0,0,0,53,0,0,0,155,0,76,0,0,53,2
William Watson III,174771,QB,VA TECH,4,39.6,0,337,69.7,,60.0,0,0,0,0.0,0.0,,0,0,0,53,0,0,0,134,0,67,0,0,53,0
