player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,week
Al-Ma'hi Ali,154696,S,W KENTUCKY,1,0,0,100.0,0,0,346,0,0,75.0,60.0,75.3,,29.0,50.8,0,0,0,0,12.0,25.0,2,0,0,100.0,2,0,0,14,0,19,34,0,0,0,0,0,14,34,0,15,6,2,6,0,2,0,0,16,4,8.0,0
Aamaris Brown,156213,S,UNLV,1,0,0,50.0,0,0,325,0,0,67.6,67.9,81.5,65.7,61.4,71.7,1,1,0,1,34.0,12.5,1,2,1,35.8,6,0,0,1,0,52,79,1,0,0,1,0,1,78,4,23,76,2,7,0,12,2,0,77,11,12.8,0
Gabe Powers,156486,LB,KANSAS ST,1,1,0,50.0,0,0,199,0,0,52.2,66.4,72.9,,75.0,78.0,0,0,0,0,21.0,0.0,0,0,0,87.5,1,0,0,25,0,8,26,0,0,0,0,0,0,26,0,18,1,2,2,0,2,0,0,21,4,21.0,0
Jaylen Wester,156530,LB,W KENTUCKY,1,0,0,100.0,0,0,346,0,0,58.2,71.1,74.4,69.3,79.7,79.4,0,0,0,0,11.0,0.0,0,0,0,104.2,2,0,0,37,0,21,42,0,0,0,0,0,0,42,9,12,5,4,4,1,2,0,0,18,4,9.0,0
Alonzo Edwards Jr.,156859,CB,SM HOUSTON,1,1,0,54.5,0,1,281,0,0,49.2,49.7,78.0,58.7,59.1,69.5,0,0,0,0,55.0,9.1,1,0,1,99.6,6,0,0,2,79,54,82,0,0,0,0,0,0,82,1,27,1,5,9,1,11,0,0,140,44,23.3,0
Jaylen Lewis,157018,S,W KENTUCKY,1,1,0,100.0,0,0,346,0,0,75.3,71.1,76.1,,56.8,79.9,0,0,0,1,8.0,0.0,0,0,0,60.4,1,0,0,21,0,29,43,0,0,0,0,0,16,43,0,14,6,1,2,0,1,0,0,8,0,8.0,0
Laterrance Welch,157115,CB,UNLV,1,0,0,75.0,0,0,325,0,0,70.0,70.2,76.8,,62.1,21.4,0,0,0,2,21.0,100.0,1,1,0,69.8,3,0,0,0,51,38,52,0,0,0,0,0,0,52,0,14,1,0,0,0,4,0,0,43,21,14.3,0
Robby Harrison,157195,DI,W KENTUCKY,1,1,0,,0,0,346,0,0,,60.8,73.2,63.5,57.6,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,17,17,1,15,0,1,0,0,11,6,0,0,0,0,0,0,0,0,0,,0
Matt Rose,157275,LB,STANFORD,1,1,0,75.0,0,0,300,0,0,68.2,63.6,0.0,66.4,58.4,72.0,0,0,0,0,5.0,7.7,1,0,1,77.1,3,1,0,45,0,36,51,2,0,0,2,0,0,49,3,12,4,6,11,1,4,1,0,10,5,3.3,0
Ernest Cooper,157278,ED,STANFORD,1,1,0,100.0,0,0,300,0,0,60.0,48.0,76.8,58.5,61.3,75.2,0,0,0,0,24.0,0.0,0,0,0,118.8,1,0,0,0,0,1,23,23,0,1,20,2,0,0,16,6,0,0,1,0,1,0,0,24,20,24.0,0
Tevarua Tafiti,157281,ED,STANFORD,1,0,0,,0,0,300,0,0,55.7,62.6,80.7,62.2,64.3,24.9,1,1,0,0,,100.0,1,0,0,0.0,0,0,0,1,0,4,51,49,0,0,49,0,0,2,37,10,1,0,0,0,0,2,0,0,0,,0
Zach Rowell,157284,DI,STANFORD,1,1,0,,0,0,300,0,0,,64.7,73.9,59.5,66.4,69.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,23,23,4,17,0,2,0,0,18,5,0,0,0,0,0,0,0,0,0,,0
Justice Finkley,157306,ED,KANSAS,1,0,0,0.0,0,0,198,0,0,60.0,68.9,77.1,61.1,71.2,70.2,0,1,0,0,,0.0,0,0,0,39.6,0,0,0,0,0,1,32,32,0,13,19,0,0,0,19,12,0,1,1,0,1,1,0,0,0,,0
Trey Lathan,157359,LB,KANSAS,1,4,0,33.3,0,0,198,0,0,52.3,65.3,75.6,73.5,71.5,82.8,3,0,0,0,10.0,0.0,0,0,0,43.8,1,0,0,40,0,19,43,0,0,0,0,0,0,43,4,20,3,3,5,0,3,3,0,10,20,10.0,0
Donovan Spellman,157558,ED,UNLV,1,0,0,,0,0,325,0,0,60.0,46.3,76.2,52.5,48.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,1,22,20,0,0,20,0,0,2,14,7,0,0,0,0,0,0,0,0,0,,0
Caleb Bacon,157561,LB,IOWA STATE,1,0,0,100.0,0,0,193,0,0,43.4,52.8,76.9,65.5,65.3,55.0,1,1,0,0,24.0,16.7,1,0,0,118.8,5,0,0,29,1,21,46,7,0,0,7,0,0,39,4,21,9,4,5,1,5,2,0,71,35,14.2,0
Will McLaughlin,157562,LB,IOWA STATE,1,0,0,,0,0,193,0,0,61.7,43.9,72.1,57.6,35.7,27.8,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,7,0,3,16,1,0,0,1,0,0,15,3,10,8,1,1,0,0,0,0,0,0,,0
Jontez Williams,157583,CB,IOWA STATE,1,2,0,100.0,0,0,193,0,0,75.9,75.2,76.3,,65.0,81.7,0,0,0,0,7.0,0.0,0,0,0,79.2,3,0,0,6,38,26,46,2,0,0,2,0,0,44,0,20,0,2,3,0,3,0,0,6,3,2.0,0
Ikenna Ezeogu,157591,ED,IOWA STATE,1,0,2,100.0,0,0,193,0,0,59.8,58.3,75.4,62.4,58.2,29.6,0,0,0,0,-3.0,50.0,1,0,0,79.2,1,0,0,0,0,0,45,45,0,6,14,25,0,0,25,20,0,1,1,1,1,0,0,-3,1,-3.0,0
Carson Willich,157592,LB,IOWA STATE,1,1,0,100.0,0,0,193,0,0,60.9,64.1,74.5,56.4,68.9,65.6,0,1,0,0,18.0,16.7,1,0,0,108.3,2,0,0,19,0,16,31,1,0,0,1,0,0,30,2,13,11,3,4,0,2,1,0,20,5,10.0,0
Domonique Orange,157602,DI,IOWA STATE,1,1,0,,0,0,193,0,0,60.0,70.4,78.0,71.7,63.3,73.6,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,45,44,38,4,0,2,0,1,25,20,0,2,2,0,0,1,0,0,0,,0
Jeremiah Cooper,157608,CB,IOWA STATE,1,0,0,0.0,0,0,193,0,0,59.5,64.4,76.5,,75.7,77.7,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,4,42,24,48,1,0,0,1,0,0,47,0,24,1,2,3,1,3,0,0,0,0,,0
Simeon Harris,157706,CB,FRESNO ST,1,0,0,100.0,0,0,169,0,0,66.7,67.2,77.2,57.5,66.1,81.1,0,0,0,0,3.0,0.0,0,0,0,79.2,1,0,0,8,0,17,42,1,0,0,1,0,2,41,2,23,31,2,4,1,1,0,0,3,3,3.0,0
Uso Seumalo,157775,DI,KANSAS ST,1,1,0,,0,0,199,0,0,,65.9,74.7,59.9,66.8,28.0,0,0,0,0,,50.0,2,0,0,0.0,0,0,0,1,0,0,33,32,2,23,1,6,0,1,16,17,0,0,1,0,0,0,0,0,0,,0
VJ Payne,157780,S,KANSAS ST,1,1,0,25.0,0,0,199,0,0,68.4,64.9,77.8,,56.7,45.1,0,0,0,0,4.0,25.0,2,0,1,39.6,1,0,0,32,3,32,67,4,0,0,4,0,15,63,0,35,13,2,5,0,4,0,0,4,1,4.0,0
