player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week
Jahiem White,173192,HB,W VIRGINIA,1,18,9,1,20.4,19,0,93,0,1,9,83.0,230.6,2,5,343,0,5,76.2,71.3,77.1,,52.5,60.0,70.8,70.1,19,0,12,2,13,30,0,0,2,20,2,93,83.0,4.61,5.2,0.92,13,1
Nahree Biggins,145711,HB,C MICHIGAN,1,18,4,1,16.7,17,0,102,0,0,4,72.0,84.2,4,6,134,0,13,76.4,80.9,76.6,,71.6,74.5,76.8,54.7,17,0,9,1,3,30,0,0,1,19,0,102,72.0,4.0,5.7,3.0,5,1
Tommy Castellanos,158433,QB,FLORIDA ST,1,18,3,0,0.0,0,0,59,0,0,1,35.0,20.7,3,6,167,0,7,73.6,74.4,76.7,77.8,,,63.2,60.0,14,0,0,0,0,44,21,5,0,13,1,80,73.0,4.06,4.4,,2,1
Seth McGowan,122936,HB,KENTUCKY,1,18,3,0,0.0,0,0,78,1,0,3,44.0,40.7,0,3,202,0,17,76.2,71.1,76.5,,77.7,31.3,75.0,60.0,7,0,0,0,12,20,0,0,1,18,1,78,44.0,2.44,4.3,0.0,1,1
Kam Thomas,149138,HB,UTEP,1,17,5,1,37.0,17,0,46,1,0,5,44.0,61.6,2,1,330,0,5,79.6,56.8,77.4,,65.3,49.7,63.8,60.2,17,0,26,4,32,25,0,0,5,21,0,46,44.0,2.59,2.7,0.81,12,1
Caden Durham,184449,HB,LSU,1,17,4,2,52.7,39,0,74,0,0,4,58.0,68.2,2,4,211,0,8,76.5,74.5,76.5,,77.2,72.3,72.6,60.0,24,0,22,3,16,24,0,0,4,20,1,74,58.0,3.41,4.4,1.38,9,1
Jevon Jackson,149110,HB,UAB,1,17,7,3,66.3,110,0,166,0,0,7,92.0,222.8,4,6,321,0,4,76.5,89.6,73.1,,71.8,57.7,83.7,73.4,48,0,0,0,3,19,0,0,0,17,2,166,92.0,5.41,9.8,0.0,13,1
Cam Cook,173133,HB,JVILLE ST,1,17,6,1,32.0,24,0,75,0,1,6,49.0,96.1,1,4,196,0,4,76.2,74.4,77.6,,75.5,68.8,73.2,70.9,24,0,43,4,24,29,0,0,4,21,0,75,49.0,2.88,4.4,1.79,13,1
Coleman Bennett,142986,HB,KENNESAW,1,17,5,1,28.8,19,0,66,0,0,5,54.0,88.2,1,4,200,0,13,75.8,66.0,76.3,,63.2,57.2,66.8,57.4,19,0,1,1,13,24,0,0,2,18,1,66,54.0,3.18,3.9,0.08,4,1
Kaelon Black,138448,HB,INDIANA,1,17,2,1,39.1,36,0,92,0,0,2,42.0,29.1,2,5,190,0,9,75.8,65.8,74.3,,85.0,55.7,64.7,,36,0,0,0,8,17,0,0,0,17,1,92,42.0,2.47,5.4,0.0,8,1
Robby Ashford,131702,QB,WAKE,1,17,3,0,0.0,0,0,23,0,0,3,20.0,41.7,1,3,339,0,3,73.4,65.2,26.3,68.1,,,60.0,60.0,11,1,0,0,0,38,19,5,0,12,1,42,41.0,2.41,2.5,,2,1
Justice Haynes,172379,HB,MICHIGAN,1,16,1,2,72.3,115,0,159,0,3,1,92.0,127.8,2,7,222,0,7,75.5,81.2,76.5,,78.1,67.1,80.8,60.0,59,0,6,2,15,18,0,0,2,18,3,159,92.0,5.75,9.9,0.4,9,1
Damari Alston,157037,HB,AUBURN,1,16,7,0,0.0,0,0,84,0,0,7,66.0,180.5,3,8,115,0,11,75.5,70.1,74.8,,22.8,55.8,71.9,58.6,11,0,0,0,9,22,0,0,0,16,1,84,66.0,4.13,5.3,0.0,5,1
Sieh Bangura,145886,HB,OHIO,1,16,2,3,66.3,57,0,86,0,0,2,39.0,28.7,4,4,259,0,8,75.5,55.3,0.0,,40.7,58.4,59.2,58.2,24,1,5,1,14,21,0,0,1,17,0,86,39.0,2.44,5.4,0.36,8,1
Devon Dampier,171556,QB,UTAH,1,16,5,1,18.4,16,0,55,0,0,2,25.0,41.3,1,8,328,0,6,73.0,78.5,77.3,72.0,,,72.2,60.0,16,0,0,0,0,44,32,5,0,11,1,87,45.0,2.81,5.4,,4,1
Robert Henry Jr.,174094,HB,UTSA,1,16,6,4,75.1,133,0,177,0,0,6,130.0,256.6,5,6,331,0,5,75.6,79.9,75.8,,73.2,58.8,82.7,60.0,75,0,-9,3,18,17,0,0,5,19,2,177,130.0,8.13,11.1,-0.5,11,1
Davon Booth,174754,HB,MISS STATE,1,16,5,1,20.0,16,0,80,0,0,5,56.0,102.9,3,7,227,0,8,75.5,82.2,75.0,,54.1,66.3,81.9,,16,0,12,1,8,16,0,0,1,17,1,80,56.0,3.5,5.0,1.5,8,1
Jackson Arnold,173684,QB,AUBURN,1,16,11,2,32.0,48,0,72,0,0,2,21.0,65.6,6,9,115,1,6,28.6,77.0,77.0,59.0,,,77.5,60.0,27,0,0,0,0,43,78,8,0,8,2,150,70.0,4.38,9.4,,0,1
Kewan Lacy,190221,HB,OLE MISS,1,16,11,2,53.7,58,0,108,0,0,11,96.0,412.5,2,8,226,0,11,75.5,84.0,76.4,,79.5,53.6,85.8,69.1,42,0,0,0,19,25,0,0,0,16,3,108,96.0,6.0,6.8,0.0,5,1
Jamal Haynes,143918,HB,GA TECH,1,16,0,0,0.0,0,0,65,1,0,0,43.0,0.0,1,4,176,0,7,75.5,57.4,76.7,,,43.5,59.9,63.6,12,0,27,1,12,37,0,0,2,17,0,65,43.0,2.69,4.1,2.25,9,1
Turbo Richard,190199,HB,BOSTON COL,1,16,6,0,0.0,0,0,48,0,0,6,46.0,107.8,0,4,121,0,11,75.5,62.1,76.9,,71.5,51.0,64.8,60.0,8,0,0,0,19,17,0,0,1,16,1,48,46.0,2.88,3.0,0.0,5,1
NaQuari Rogers,160350,HB,UTAH,1,16,0,0,0.0,0,0,61,0,0,0,38.0,0.0,1,6,328,0,9,75.8,69.5,76.5,,79.1,58.4,69.5,56.8,10,0,6,1,11,25,0,0,1,17,1,61,38.0,2.38,3.8,0.55,7,1
Quintrevion Wisner,176190,HB,TEXAS,1,16,4,0,0.0,0,0,80,0,0,4,41.0,60.3,1,5,311,0,10,75.6,74.5,76.6,,77.3,51.5,76.9,58.3,13,0,5,1,16,22,0,0,2,17,0,80,41.0,2.56,5.0,0.31,6,1
Jeremiah Cobb,172443,HB,AUBURN,1,16,2,0,0.0,0,0,74,0,0,2,35.0,25.7,0,5,115,0,7,75.5,69.3,75.6,,31.7,58.8,70.6,59.0,9,0,0,1,8,20,0,0,1,17,1,74,35.0,2.19,4.6,0.0,9,1
Marcellous Hawkins,200025,HB,VA TECH,1,15,4,0,0.0,0,0,58,1,0,4,45.0,80.0,1,4,337,0,2,75.2,64.9,76.6,,82.6,38.4,69.8,55.5,11,0,0,0,17,22,0,0,1,15,0,58,45.0,3.0,3.9,0.0,13,1
Makhi Frazier,190321,HB,MICH STATE,1,15,3,2,38.6,44,0,114,0,0,3,39.0,48.8,3,3,223,0,6,75.2,77.5,76.1,,78.0,59.4,76.7,60.0,28,0,-5,1,9,16,0,0,1,16,1,114,39.0,2.6,7.6,-0.56,9,1
Daelen Alexander,173224,HB,RICE,1,15,4,0,0.0,0,0,74,0,0,4,60.0,106.7,1,6,275,0,9,75.2,63.3,74.8,,19.6,55.3,67.8,45.9,10,0,0,0,5,21,0,0,0,15,0,74,60.0,4.0,4.9,0.0,6,1
