player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Tre Spivey,173119,WR,ARIZONA,2,2,0,0,0.0,0,0,8,1,1,0,6,37.5,0,0,109,0,1,68.5,61.7,78.8,,,60.2,56.3,76.3,7,0,59,6,58,32,0,0,9,8,0,8,6,3.0,4.0,1.02,0
Ryan Montgomery,198473,QB,GEORGIA,2,2,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,173,1,0,16.4,59.6,72.5,83.6,,,39.9,60.0,5,0,0,0,0,14,5,1,0,1,0,4,3,1.5,2.0,,0
Landon Roldan,198479,WR,GEORGIA,2,2,0,0,0.0,0,0,13,0,0,0,1,0.0,0,2,173,0,0,66.3,66.5,73.7,,,66.0,60.8,61.8,9,0,17,1,6,12,0,0,1,3,1,13,1,0.5,6.5,2.83,0
Luke Rauh,126605,HB,AIR FORCE,1,2,0,1,89.5,17,0,19,0,0,0,5,0.0,1,1,101,0,2,65.5,61.3,71.2,,,,61.6,58.4,17,0,0,0,0,6,0,0,0,2,0,19,5,2.5,9.5,,0
Alex Manske,198567,QB,PENN STATE,2,2,0,0,0.0,0,0,5,0,0,0,2,0.0,0,0,266,0,0,66.3,61.5,73.4,59.2,,,61.0,60.0,6,0,0,0,0,18,6,1,0,1,0,11,4,2.0,5.5,,1
Ahmad Miller,172895,HB,SYRACUSE,1,2,0,0,0.0,0,0,2,0,0,0,3,0.0,0,0,304,0,1,65.5,49.7,69.9,,0.0,58.1,56.2,60.0,1,0,0,0,3,3,0,0,0,2,0,2,3,1.5,1.0,0.0,1
Jalen Mickens,198689,WR,LA TECH,2,2,1,1,90.3,28,0,31,0,3,1,25,454.5,1,1,208,1,1,21.2,78.7,78.2,,62.1,76.7,62.8,72.7,28,0,234,9,46,26,0,0,13,11,0,31,25,12.5,15.5,5.09,0
Austin Mack,171934,QB,ALABAMA,2,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,1,103,0,0,64.8,68.4,70.4,59.3,,,65.4,60.0,6,0,0,0,0,8,6,1,0,1,0,4,0,0.0,2.0,,0
Lawrence Autry,220601,HB,W VIRGINIA,1,2,0,0,0.0,0,0,9,0,0,0,7,0.0,0,0,343,0,0,67.3,50.9,69.9,,,59.9,52.4,59.6,5,0,0,0,1,6,0,0,0,2,0,9,7,3.5,4.5,0.0,2
Mike Taylor Jr.,199027,HB,OHIO,1,2,1,0,0.0,0,0,6,0,0,1,5,125.0,0,0,259,0,2,65.5,69.1,68.6,,75.2,,65.7,,6,0,0,0,0,2,0,0,0,2,0,6,5,2.5,3.0,,0
Irving Brown,199029,HB,OHIO,1,2,0,0,0.0,0,0,10,0,0,0,3,0.0,0,2,259,0,1,65.5,61.3,66.3,,,60.0,61.1,,6,0,0,0,1,2,0,0,0,2,0,10,3,1.5,5.0,0.0,1
Brady Mott,170995,HB,ARMY,2,2,0,0,0.0,0,0,-2,0,0,0,2,0.0,0,0,114,0,2,65.5,51.0,75.3,,75.5,53.6,56.2,46.2,2,0,0,0,7,22,0,0,0,2,0,-2,2,1.0,-1.0,0.0,0
Camden Coleman,170901,QB,JAMES MAD,2,2,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,197,0,0,68.8,61.9,76.5,58.0,,,67.7,60.2,9,0,0,0,0,24,16,2,0,0,0,16,5,2.5,8.0,,0
Brian Salazar,221640,QB,SACRAMENTO,1,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,279,0,0,65.9,63.7,70.4,61.0,,,60.1,60.0,-1,0,0,0,0,10,0,0,0,2,0,-2,0,0.0,-1.0,,0
Robby Washington,170096,WR,COAST CAR,2,2,3,0,0.0,0,0,12,1,1,3,8,266.7,0,0,141,0,1,73.5,57.3,0.0,,,58.4,63.2,45.3,8,1,103,4,47,17,0,0,10,6,0,12,8,4.0,6.0,2.19,0
Jamill Williams,167243,WR,JVILLE ST,3,2,0,0,0.0,0,0,3,0,2,0,3,18.8,0,0,196,0,2,71.5,78.2,79.2,73.1,,76.8,63.0,59.9,7,0,188,14,34,27,0,0,14,16,0,3,3,1.5,1.5,5.53,0
Winston Watkins Jr.,199790,WR,LSU,2,2,1,0,0.0,0,0,20,0,0,1,11,39.3,1,1,211,0,2,69.9,73.2,8.5,,,72.5,70.5,62.0,14,1,153,12,74,53,0,0,19,14,0,20,11,5.5,10.0,2.07,0
TJ Lateef,199810,QB,NEBRASKA,1,2,1,1,95.5,21,0,22,0,0,1,17,425.0,1,1,238,0,1,66.2,59.2,70.7,55.9,,,58.2,60.0,21,0,0,0,0,4,0,0,0,2,0,22,17,8.5,11.0,,1
Tavien St. Clair,199863,QB,OHIO STATE,1,2,1,0,0.0,0,0,0,0,0,0,,100.0,0,0,260,0,0,64.9,69.4,71.2,77.6,,,53.8,60.0,7,0,0,0,0,5,8,2,0,0,0,8,13,6.5,4.0,,0
James Lewis,222410,HB,CINCINNATI,1,2,1,0,0.0,0,0,11,0,0,1,11,275.0,0,1,138,0,0,65.5,71.4,68.0,,,,68.7,60.0,7,0,0,0,0,3,0,0,0,2,0,11,11,5.5,5.5,,2
Cutter Woods,199951,QB,S CAROLINA,2,2,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,289,0,0,66.0,56.7,74.1,60.2,,,52.9,60.0,6,0,0,0,0,20,6,2,0,0,0,6,2,1.0,3.0,,0
Robert Briggs,163425,HB,SO MISS,1,2,0,0,0.0,0,0,22,0,0,0,11,0.0,1,1,296,0,1,65.5,69.3,68.6,,67.5,58.6,67.8,,13,0,0,0,2,2,0,0,0,2,0,22,11,5.5,11.0,0.0,1
A.J. Brand,200036,WR,VA TECH,2,2,2,0,0.0,0,0,10,0,0,2,6,200.0,0,2,337,0,1,66.3,62.3,75.1,,,56.6,71.1,43.5,9,0,5,1,7,15,0,0,1,3,1,10,6,3.0,5.0,0.71,1
Christian Washington,163362,HB,S DIEGO ST,1,2,0,0,0.0,0,0,6,0,0,0,1,0.0,0,0,284,1,0,9.8,30.1,66.1,,70.8,,37.3,,6,0,0,0,0,2,0,0,0,2,0,6,1,0.5,3.0,,2
Jaden Lawrence,200070,HB,WYOMING,1,2,0,0,0.0,0,0,3,0,0,0,5,0.0,0,0,351,0,0,65.5,56.7,68.4,,,57.0,58.3,,2,0,0,0,3,2,0,0,0,2,0,3,5,2.5,1.5,0.0,2
Journee Tonga,222673,HB,BYU,1,2,1,1,89.5,34,0,38,0,0,1,37,925.0,1,1,128,0,0,65.5,88.1,68.8,,70.0,58.9,82.8,,34,0,0,0,2,2,0,0,0,2,1,38,37,18.5,19.0,0.0,2
Luke Nickel,200166,QB,MIAMI FL,2,2,1,0,0.0,0,0,11,0,0,1,8,200.0,1,1,220,0,0,67.8,92.2,73.6,91.8,,,64.7,60.0,13,0,0,0,0,16,0,0,0,2,0,11,8,4.0,5.5,,1
Cole Geer,200287,QB,VIRGINIA,1,2,1,0,0.0,0,0,9,0,0,1,9,225.0,0,0,335,1,0,66.6,66.9,71.2,62.4,,,63.9,60.0,6,0,0,0,0,10,0,0,0,2,0,9,9,4.5,4.5,,1
Tre Richardson,200360,WR,LOUISVILLE,2,2,2,1,73.2,30,0,41,0,7,2,32,1107.7,2,2,210,0,1,72.8,83.1,78.4,,,81.9,70.4,59.6,30,0,181,11,47,40,0,0,13,13,1,41,32,16.0,20.5,3.85,0
Marceles Carey,222710,HB,BOWL GREEN,1,2,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,122,0,2,65.5,55.2,66.9,,,60.0,57.3,,4,0,0,0,1,2,0,0,0,2,0,-3,0,0.0,-1.5,0.0,0
Connor Barry,161286,QB,PENN STATE,1,2,0,0,0.0,0,0,3,0,0,0,3,0.0,0,0,266,0,0,65.9,58.8,70.1,61.0,,,58.0,60.0,4,0,0,0,0,9,0,0,0,2,0,3,3,1.5,1.5,,1
