rank,team,record,pf,pa,grade_over,grade_off,grade_pass,grade_pblk,grade_recv,grade_run,grade_rblk,grade_def,grade_rdef,grade_tack,grade_prsh,grade_cov,grade_spec
27,Michigan State,2 - 0,65,27,91.3,81.0,87.1,78.1,72.1,72.7,68.9,79.5,77.1,61.0,73.7,75.9,74.7
28,North Dakota State,3 - 0,109,39,91.3,82.5,64.5,63.0,79.9,81.6,74.2,72.9,70.4,80.8,69.3,73.3,83.4
29,Texas A&M,2 - 0,98,20,91.3,73.7,67.0,88.5,62.2,76.4,68.4,87.3,90.4,73.7,70.6,84.0,81.7
30,North Carolina,2 - 0,50,13,91.2,75.7,70.7,65.7,71.3,75.6,67.3,89.8,88.8,65.0,77.3,84.7,67.1
31,Utah,2 - 0,109,24,91.2,85.3,90.1,74.5,78.1,82.5,62.1,76.4,80.1,71.4,68.1,71.0,69.5
32,Air Force,1 - 1,66,38,91.1,85.1,77.2,54.7,63.1,79.8,83.2,78.4,83.2,72.8,60.0,76.3,60.7
33,Massachusetts,2 - 0,74,31,91.1,73.2,86.5,81.8,70.5,78.9,52.3,87.6,90.5,74.3,65.8,86.7,72.8
34,Buffalo,1 - 1,41,50,91.0,74.6,85.7,67.7,64.2,77.2,66.2,85.8,91.5,83.7,82.5,69.6,80.6
35,Cincinnati,2 - 0,96,25,91.0,81.9,90.3,87.3,67.4,80.7,70.8,79.2,73.7,69.3,59.0,90.0,71.6
36,Mississippi State,2 - 0,100,26,91.0,79.7,69.6,73.0,73.8,90.7,59.0,79.4,87.2,73.4,59.8,82.3,70.0
37,Kansas,1 - 1,72,44,90.8,80.2,67.4,55.7,81.0,66.5,81.0,74.9,84.2,80.6,70.7,58.9,90.7
38,Alabama,2 - 0,93,27,90.7,74.6,70.1,70.0,62.7,84.8,65.2,85.0,83.8,59.1,74.3,82.7,74.1
39,Colorado,2 - 0,66,34,90.6,78.0,70.4,88.1,70.2,84.2,59.5,84.0,85.3,68.8,73.4,81.3,56.9
40,Pittsburgh,3 - 0,98,34,90.6,72.7,78.7,86.8,68.9,74.5,52.7,83.2,90.4,49.7,66.0,80.6,83.5
41,Connecticut,1 - 1,70,45,90.0,84.0,89.9,55.7,78.5,86.7,61.4,70.9,70.8,59.7,62.4,72.7,74.2
42,James Madison,2 - 0,107,16,89.8,72.6,75.2,78.9,64.8,69.5,69.0,79.1,90.7,56.0,74.6,56.4,85.2
43,Arizona State,1 - 1,90,55,89.7,76.8,80.8,70.2,68.3,79.4,64.1,81.7,81.0,72.3,75.7,77.5,68.1
44,Texas Tech,2 - 0,68,34,89.6,78.2,71.4,87.5,72.2,70.1,73.4,80.4,83.1,67.3,72.7,76.7,50.4
45,Texas,2 - 0,83,30,89.5,79.2,89.8,93.2,66.7,74.9,64.7,77.4,86.8,57.5,63.0,67.5,79.6
46,Appalachian State,2 - 0,82,27,89.2,78.7,80.3,87.3,77.7,88.8,53.0,76.1,72.6,51.9,66.5,77.5,69.2
47,Auburn,2 - 0,60,24,88.9,72.6,69.0,74.9,66.3,73.7,67.6,84.2,92.6,81.0,74.2,69.1,73.9
48,Old Dominion,1 - 1,52,54,88.8,64.1,63.2,33.5,68.0,73.5,53.0,89.3,88.8,59.1,78.1,83.5,80.8
49,Baylor,1 - 1,60,20,88.6,71.3,70.3,62.1,71.3,79.3,54.0,89.7,92.2,90.3,70.8,85.6,78.1
50,Iowa State,1 - 1,51,26,88.6,66.2,59.4,81.2,66.3,76.5,48.3,88.6,88.6,69.4,67.7,87.0,72.5
51,UCF,1 - 1,80,18,88.2,66.1,54.3,53.5,65.2,80.5,60.5,86.7,91.8,76.4,75.6,69.1,82.0
52,Tennessee,2 - 0,101,33,87.8,75.4,75.2,78.1,66.5,87.0,59.9,81.7,65.9,56.4,79.0,89.4,53.4
