player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Deven Eastern,144989,DI,MINNESOTA,12,9,1,,0,1,225,0,0,60.0,65.7,31.6,66.4,66.0,42.5,2,8,0,0,,17.9,7,0,3,0.0,0,3,0,0,0,0,456,456,248,204,2,2,0,0,241,215,0,20,23,3,0,13,0,0,0,
Marques Buford Jr.,145012,S,NEBRASKA,12,0,0,40.0,0,0,238,0,0,70.1,66.8,83.4,64.4,52.8,90.0,0,0,0,0,10.0,0.0,0,0,0,47.9,4,0,0,51,0,127,201,6,0,0,6,0,122,195,4,70,22,6,16,0,10,0,0,22,7,5.5
Mikai Gbayor,145013,LB,N CAROLINA,12,10,0,66.7,1,1,245,1,1,64.7,67.1,17.1,67.7,67.5,56.1,0,1,0,0,12.0,17.5,7,0,1,71.5,4,1,0,231,1,100,252,10,0,0,10,0,0,242,10,142,8,12,23,1,6,2,0,20,8,5.0
Wynden Ho'ohuli,145015,LB,HAWAII,11,4,0,42.9,0,0,180,0,0,57.6,49.0,0.0,50.5,51.7,43.4,0,0,0,0,7.0,21.1,4,0,3,50.3,3,0,0,136,0,74,167,18,0,0,18,0,0,149,17,76,12,7,11,2,7,0,0,11,8,3.7
Randolph Kpai,145018,LB,NEW MEXICO,2,1,0,,0,0,241,0,0,65.8,73.7,76.4,60.0,74.6,81.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,30,0,11,35,1,0,0,1,0,0,34,1,23,4,3,6,0,0,0,0,0,0,
Derek Branch,145019,S,NEBRASKA,3,0,0,,0,0,238,0,0,60.0,63.3,68.5,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,4,0,1,8,0,0,0,0,0,0,8,0,7,3,0,0,0,0,0,0,0,0,
Michael Booker III,145023,LB,NEBRASKA,3,0,0,,0,0,238,0,0,63.4,67.9,71.9,60.0,67.6,56.0,0,0,0,0,,25.0,1,0,0,0.0,0,0,0,25,0,10,26,0,0,0,0,0,0,26,1,15,0,2,3,0,0,0,0,0,0,
Ru'Quan Buckley,145027,DI,MICH STATE,11,3,0,,0,0,223,0,0,,58.0,81.0,53.9,59.6,63.1,0,3,0,0,,16.7,3,0,0,0.0,0,2,0,0,0,0,191,190,12,169,2,7,0,1,82,109,0,9,12,0,0,5,0,0,0,
Theran Johnson,145045,CB,OREGON,11,1,0,58.1,0,1,264,1,0,48.4,54.3,83.1,73.9,72.6,68.5,0,0,0,0,50.0,12.5,2,2,0,112.4,18,1,0,31,297,179,342,8,0,0,8,0,0,334,3,160,6,4,13,0,31,1,2,301,62,16.7
Garner Wallace,145046,S,NWESTERN,12,13,0,78.6,0,0,256,0,0,53.2,55.5,86.8,48.8,60.7,63.7,0,2,0,0,48.0,18.0,11,1,0,134.2,22,0,0,263,0,306,580,5,0,0,5,0,265,575,1,273,47,6,37,0,28,2,2,294,111,13.4
