Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134270-225781,WR,Jalen,Jalen Cooper,Cooper,9.899999618530273,2,6000,SMU@LOU,SMU,LOU,,,,,,WR/Super FLEX
134270-225803,RB,Xay,Xay Davis,Davis,7.300000190734863,1,6000,WVU@UVA,UVA,WVU,,,,,,RB/Super FLEX
134270-205480,WR,Zacharyus,Zacharyus Williams,Williams,6.799999872843425,3,6000,USC@RUT,USC,RUT,,,,,,WR/Super FLEX
134270-223926,RB,Marquise,Marquise Davis,Davis,12.5,2,6000,SMU@LOU,LOU,SMU,,,,,,RB/Super FLEX
134270-205547,TE,Willie,Willie Rodriguez,Rodriguez,10.850000381469727,2,6000,UK@TXAM,UK,TXAM,,,,,,WR/Super FLEX
134270-191293,WR,Derek,Derek Eusebio,Eusebio,6.466666751437717,9,6000,ASU@KU,ASU,KU,,,,,,WR/Super FLEX
134270-230220,WR,Nahzae,Nahzae Cox,Cox,7.5,1,6000,ASU@KU,KU,ASU,,,,,,WR/Super FLEX
134270-191684,WR,Bailey,Bailey Stockton,Stockton,9.5,1,6000,UF@AUB,UF,AUB,,,,,,WR/Super FLEX
134270-167631,QB,AJ,AJ Swann,Swann,11.84000015258789,6,6000,MSST@SCAR,MSST,SCAR,,,,,,QB/Super FLEX
134270-229191,RB,Riley,Riley Wormley,Wormley,4.533333460489909,3,6000,USC@RUT,USC,RUT,,,,,,RB/Super FLEX
134270-223176,WR,Talyn,Talyn Taylor,Taylor,10.100000381469727,1,6000,UGA@ARK,UGA,ARK,,,,,,WR/Super FLEX
134270-225620,QB,Scotty,Scotty Fox Jr.,Fox Jr.,10.946666293674046,9,5900,WVU@UVA,WVU,UVA,,,,,,QB/Super FLEX
134270-225663,WR,Mana,Mana Carvalho,Carvalho,2.4000000953674316,2,5900,UTST@UTAH,UTAH,UTST,,,,,,WR/Super FLEX
134270-231884,WR,Javon,Javon Robinson,Robinson,11.199999809265137,2,5900,UTST@UTAH,UTST,UTAH,,,,,,WR/Super FLEX
134270-225831,RB,Demon,Demon June,June,2.5,1,5900,UNC@CLEM,UNC,CLEM,,,,,,RB/Super FLEX
134270-225861,QB,Ty,Ty Hawkins,Hawkins,13.65999984741211,1,5900,SMU@LOU,SMU,LOU,,,,,,QB/Super FLEX
134270-168982,RB,Javen,Javen Jacobs,Jacobs,6.849999904632568,2,5900,UTST@UTAH,UTST,UTAH,,,,,,RB/Super FLEX
134270-167101,TE,Jaleel,Jaleel Skinner,Skinner,7,1,5900,SMU@LOU,LOU,SMU,,,,,,WR/Super FLEX
134270-243028,RB,Amari,Amari Latimer,Latimer,3.200000047683716,1,5900,WVU@UVA,WVU,UVA,,,,,,RB/Super FLEX
134270-183745,WR,Fredrick,Fredrick Moore,Moore,6.150000095367432,2,5900,MSU@ND,MSU,ND,,,,,,WR/Super FLEX
134270-189901,WR,Ty'Lyric,Ty'Lyric Coleman,Coleman,4.099999904632568,1,5900,WVU@UVA,UVA,WVU,,,,,,WR/Super FLEX
134270-231318,WR,Corey,Corey Simms,Simms,4.866666793823242,3,5900,USC@RUT,USC,RUT,,,,,,WR/Super FLEX
134270-223252,QB,Tramell,Tramell Jones Jr.,Jones Jr.,7.019999980926514,1,5800,UF@AUB,UF,AUB,,,,,,QB/Super FLEX
134270-192660,RB,Chris,Chris Johnson Jr.,Johnson Jr.,2.6500000953674316,2,5800,UNC@CLEM,CLEM,UNC,,,,,,RB/Super FLEX
134270-184517,RB,Bryson,Bryson Washington,Washington,3.700000047683716,2,5800,UF@AUB,AUB,UF,,,,,,RB/Super FLEX
134270-200952,WR,Kameron,Kameron Courtney,Courtney,2.700000047683716,1,5800,WVU@UVA,UVA,WVU,,,,,,WR/Super FLEX
134270-232155,QB,Tristan,Tristan Ti'a,Ti'a,1.559999942779541,1,5800,UF@AUB,AUB,UF,,,,,,QB/Super FLEX
134270-224005,WR,Samari,Samari Reed,Reed,,0,5800,LSU@MISS,MISS,LSU,,,,,,WR/Super FLEX
